stringId_A,stringId_B,combined_score
ENSP00000225964,ENSP00000304408,0.9958
ENSP00000225964,ENSP00000297268,0.9987364
ENSP00000226004,ENSP00000311005,0.5730520000000001
ENSP00000226004,ENSP00000283228,0.9071
ENSP00000226218,ENSP00000239462,0.54
ENSP00000226218,ENSP00000309953,0.53
ENSP00000226218,ENSP00000369677,0.5940270000000001
ENSP00000226218,ENSP00000258341,0.54
ENSP00000226218,ENSP00000345008,0.533
ENSP00000226218,ENSP00000331544,0.522
ENSP00000226218,ENSP00000358310,0.65
ENSP00000226218,ENSP00000378431,0.583539
ENSP00000226218,ENSP00000264741,0.66925
ENSP00000226218,ENSP00000327290,0.6647000000000001
ENSP00000226218,ENSP00000267082,0.67065
ENSP00000226218,ENSP00000282588,0.6668000000000001
ENSP00000226218,ENSP00000283249,0.65
ENSP00000226218,ENSP00000386896,0.66925
ENSP00000226218,ENSP00000315190,0.66925
ENSP00000226218,ENSP00000296585,0.65
ENSP00000226218,ENSP00000361818,0.5
ENSP00000226218,ENSP00000380227,0.66925
ENSP00000226218,ENSP00000341189,0.6689
ENSP00000226218,ENSP00000293379,0.7354
ENSP00000226218,ENSP00000379350,0.9
ENSP00000226218,ENSP00000367316,0.9055
ENSP00000226218,ENSP00000296181,0.9463
ENSP00000226218,ENSP00000361850,0.91306
ENSP00000226218,ENSP00000452786,0.9
ENSP00000226218,ENSP00000339328,0.97516
ENSP00000226218,ENSP00000261023,0.927802
ENSP00000226218,ENSP00000262407,0.9055
ENSP00000226730,ENSP00000501150,0.4
ENSP00000226730,ENSP00000361965,0.41351529500000006
ENSP00000226730,ENSP00000370698,0.65
ENSP00000226730,ENSP00000354532,0.46891112999999995
ENSP00000226730,ENSP00000364898,0.5255000000000001
ENSP00000226730,ENSP00000384273,0.516
ENSP00000226730,ENSP00000371067,0.6647000000000001
ENSP00000226730,ENSP00000470788,0.66855
ENSP00000226730,ENSP00000477713,0.42880000000000007
ENSP00000226730,ENSP00000389326,0.9
ENSP00000226730,ENSP00000499900,0.9
ENSP00000226730,ENSP00000365380,0.8659525
ENSP00000226730,ENSP00000231449,0.43199999999999994
ENSP00000228463,ENSP00000278927,0.5245
ENSP00000228463,ENSP00000380948,0.443932
ENSP00000228463,ENSP00000496414,0.902
ENSP00000228463,ENSP00000498227,0.6588295
ENSP00000228463,ENSP00000331736,0.9152243
ENSP00000228463,ENSP00000263686,0.998152
ENSP00000228534,ENSP00000327801,0.75
ENSP00000228534,ENSP00000264657,0.529
ENSP00000228534,ENSP00000370698,0.671
ENSP00000228534,ENSP00000385675,0.4498
ENSP00000228534,ENSP00000371067,0.9
ENSP00000228534,ENSP00000431885,0.9
ENSP00000228534,ENSP00000470788,0.9852
ENSP00000228534,ENSP00000231228,0.9983508
ENSP00000229135,ENSP00000370698,0.69235
ENSP00000229135,ENSP00000496577,0.5985
ENSP00000229135,ENSP00000470788,0.72175
ENSP00000229135,ENSP00000365380,0.6903429999999999
ENSP00000229135,ENSP00000499900,0.9057000000000001
ENSP00000229135,ENSP00000371067,0.9109
ENSP00000231228,ENSP00000499900,0.5275000000000001
ENSP00000231228,ENSP00000474412,0.4282
ENSP00000231228,ENSP00000264657,0.5495
ENSP00000231228,ENSP00000371067,0.58048
ENSP00000231228,ENSP00000280357,0.4516
ENSP00000231228,ENSP00000263341,0.45999999999999996
ENSP00000231228,ENSP00000385675,0.4606
ENSP00000231228,ENSP00000370698,0.6776500000000001
ENSP00000231228,ENSP00000398698,0.502
ENSP00000231228,ENSP00000327801,0.77725
ENSP00000231228,ENSP00000431885,0.5653000000000001
ENSP00000231228,ENSP00000470788,0.9932124
ENSP00000231228,ENSP00000303231,0.9978426
ENSP00000231449,ENSP00000252999,0.4
ENSP00000231449,ENSP00000297268,0.4
ENSP00000231449,ENSP00000366109,0.4
ENSP00000231449,ENSP00000293761,0.4606
ENSP00000231449,ENSP00000354558,0.41100000000000003
ENSP00000231449,ENSP00000370698,0.65
ENSP00000231449,ENSP00000496577,0.529
ENSP00000231449,ENSP00000346839,0.43120000000000003
ENSP00000231449,ENSP00000431885,0.5
ENSP00000231449,ENSP00000371067,0.65
ENSP00000231449,ENSP00000415743,0.75
ENSP00000231449,ENSP00000280357,0.4
ENSP00000231449,ENSP00000470788,0.65
ENSP00000231449,ENSP00000264657,0.5
ENSP00000231449,ENSP00000398698,0.43300000000000005
ENSP00000231449,ENSP00000385675,0.4264
ENSP00000231449,ENSP00000499900,0.9
ENSP00000231449,ENSP00000263341,0.44320000000000004
ENSP00000232003,ENSP00000339328,0.5
ENSP00000232003,ENSP00000360170,0.5168109999999999
ENSP00000232003,ENSP00000361850,0.570103
ENSP00000232003,ENSP00000498441,0.7248
ENSP00000232003,ENSP00000308938,0.9801586
ENSP00000233154,ENSP00000309591,0.4
ENSP00000233154,ENSP00000330382,0.5215000000000001
ENSP00000233154,ENSP00000354566,0.4376540000000001
ENSP00000233154,ENSP00000348461,0.5582845000000001
ENSP00000233154,ENSP00000347427,0.606274
ENSP00000233154,ENSP00000427552,0.5359700000000001
ENSP00000233154,ENSP00000332118,0.5495
ENSP00000233154,ENSP00000479719,0.4388200000000001
ENSP00000233154,ENSP00000497733,0.45221560000000005
ENSP00000233154,ENSP00000352138,0.5549999999999999
ENSP00000233154,ENSP00000362680,0.580134
ENSP00000233154,ENSP00000263923,0.7224999999999999
ENSP00000233154,ENSP00000359552,0.591
ENSP00000233154,ENSP00000316338,0.734
ENSP00000233154,ENSP00000495631,0.8539264
ENSP00000233154,ENSP00000249071,0.9110851
ENSP00000233154,ENSP00000304283,0.9192025
ENSP00000233154,ENSP00000420321,0.9156463
ENSP00000233154,ENSP00000469413,0.9207476
ENSP00000233154,ENSP00000417335,0.9113
ENSP00000233154,ENSP00000341189,0.9326692
ENSP00000233154,ENSP00000314067,0.9734634
ENSP00000233154,ENSP00000417273,0.9789680000000001
ENSP00000233154,ENSP00000337598,0.975742
ENSP00000233809,ENSP00000391826,0.7908568
ENSP00000233809,ENSP00000376637,0.82234
ENSP00000233997,ENSP00000244336,0.7952440000000001
ENSP00000233997,ENSP00000234347,0.999
ENSP00000234347,ENSP00000244336,0.4899220000000001
ENSP00000234347,ENSP00000479536,0.9122
ENSP00000235310,ENSP00000336800,0.42599999999999993
ENSP00000235310,ENSP00000349436,0.47695
ENSP00000235310,ENSP00000419446,0.618
ENSP00000236850,ENSP00000331746,0.4252
ENSP00000236850,ENSP00000361818,0.5
ENSP00000236850,ENSP00000327801,0.4636
ENSP00000236850,ENSP00000320866,0.4408000000000001
ENSP00000236850,ENSP00000306099,0.4244880000000001
ENSP00000236850,ENSP00000336829,0.501924
ENSP00000236850,ENSP00000381448,0.46299999999999997
ENSP00000236850,ENSP00000385523,0.5
ENSP00000236850,ENSP00000500990,0.725698
ENSP00000236850,ENSP00000498441,0.8119263999999999
ENSP00000236850,ENSP00000415743,0.7
ENSP00000236850,ENSP00000284981,0.89556
ENSP00000236850,ENSP00000350425,0.9064
ENSP00000238682,ENSP00000367316,0.546
ENSP00000238682,ENSP00000452786,0.5275000000000001
ENSP00000238682,ENSP00000296181,0.5315
ENSP00000238682,ENSP00000379350,0.5275000000000001
ENSP00000238682,ENSP00000283249,0.5355
ENSP00000238682,ENSP00000261023,0.762944
ENSP00000238682,ENSP00000355896,0.59428
ENSP00000238682,ENSP00000373574,0.9408264
ENSP00000238682,ENSP00000447297,0.9962
ENSP00000238682,ENSP00000351905,0.9984784
ENSP00000239462,ENSP00000339328,0.54
ENSP00000239462,ENSP00000378431,0.56254
ENSP00000239462,ENSP00000258341,0.54
ENSP00000239462,ENSP00000369677,0.5666800000000001
ENSP00000239462,ENSP00000361850,0.54
ENSP00000239462,ENSP00000407685,0.5315
ENSP00000239462,ENSP00000341189,0.67135
ENSP00000239462,ENSP00000267082,0.66925
ENSP00000239462,ENSP00000296181,0.66925
ENSP00000239462,ENSP00000262407,0.6843
ENSP00000239462,ENSP00000386896,0.6843
ENSP00000239462,ENSP00000293379,0.6843
ENSP00000239462,ENSP00000380227,0.6843
ENSP00000239462,ENSP00000315190,0.6843
ENSP00000239462,ENSP00000282588,0.7029263
ENSP00000239462,ENSP00000327290,0.7029263
ENSP00000239462,ENSP00000296585,0.7029263
ENSP00000239462,ENSP00000358310,0.7092403
ENSP00000239462,ENSP00000452786,0.9055
ENSP00000239462,ENSP00000379350,0.9055
ENSP00000239462,ENSP00000261023,0.9098
ENSP00000239462,ENSP00000283249,0.906
ENSP00000239462,ENSP00000361818,0.9
ENSP00000239462,ENSP00000367316,0.9142198
ENSP00000239462,ENSP00000264741,0.9150316000000001
ENSP00000242261,ENSP00000339527,0.4306000000000001
ENSP00000242261,ENSP00000384371,0.613432
ENSP00000242261,ENSP00000384273,0.7027540000000001
ENSP00000242261,ENSP00000264657,0.73668
ENSP00000242261,ENSP00000398632,0.9048
ENSP00000244050,ENSP00000384273,0.4670200000000001
ENSP00000244050,ENSP00000287820,0.5487625
ENSP00000244050,ENSP00000263253,0.735
ENSP00000244050,ENSP00000324806,0.849787
ENSP00000244050,ENSP00000383042,0.931
ENSP00000244050,ENSP00000320147,0.8235625
ENSP00000244336,ENSP00000293379,0.47492920000000005
ENSP00000244336,ENSP00000346839,0.4
ENSP00000244336,ENSP00000379350,0.43420000000000003
ENSP00000245451,ENSP00000447297,0.48577900000000007
ENSP00000245451,ENSP00000262120,0.4952200000000001
ENSP00000245451,ENSP00000373574,0.4928380000000001
ENSP00000245451,ENSP00000498748,0.67415
ENSP00000245451,ENSP00000283147,0.9344128
ENSP00000245451,ENSP00000368104,0.9072
ENSP00000245451,ENSP00000379204,0.5990104
ENSP00000246792,ENSP00000348461,0.5899760000000001
ENSP00000246792,ENSP00000265371,0.53
ENSP00000246792,ENSP00000417273,0.4024690000000001
ENSP00000246792,ENSP00000341905,0.68465
ENSP00000246792,ENSP00000408695,0.9055
ENSP00000246792,ENSP00000416523,0.542555
ENSP00000246792,ENSP00000264431,0.9177704
ENSP00000246792,ENSP00000400175,0.9155635
ENSP00000246792,ENSP00000418915,0.9158574
ENSP00000246792,ENSP00000286827,0.9128000000000001
ENSP00000246792,ENSP00000442736,0.9194496
ENSP00000246792,ENSP00000501150,0.9357724000000001
ENSP00000246792,ENSP00000355771,0.9116
ENSP00000246792,ENSP00000352288,0.9221404
ENSP00000246792,ENSP00000274376,0.9138644
ENSP00000247470,ENSP00000365227,0.42100000000000004
ENSP00000247470,ENSP00000376475,0.643624
ENSP00000247470,ENSP00000430684,0.71181
ENSP00000247470,ENSP00000364898,0.414937
ENSP00000247470,ENSP00000263341,0.9129
ENSP00000247470,ENSP00000280357,0.9067000000000001
ENSP00000249014,ENSP00000366283,0.4
ENSP00000249014,ENSP00000261590,0.4252
ENSP00000249014,ENSP00000293373,0.4
ENSP00000249014,ENSP00000337907,0.4
ENSP00000249014,ENSP00000376197,0.4
ENSP00000249014,ENSP00000379350,0.4
ENSP00000249014,ENSP00000377508,0.4408000000000001
ENSP00000249014,ENSP00000495631,0.4
ENSP00000249014,ENSP00000314067,0.4
ENSP00000249014,ENSP00000339191,0.5270086
ENSP00000249014,ENSP00000351209,0.526
ENSP00000249014,ENSP00000348461,0.5813125
ENSP00000249014,ENSP00000249071,0.580875
ENSP00000249014,ENSP00000339467,0.5891875
ENSP00000249014,ENSP00000304283,0.594875
ENSP00000249014,ENSP00000469413,0.4606
