Root,Dscore,Statistic,Pvalue,AdjPvalue
37,0.9993,8.519,8.07e-18,4.59e-15
37,0.9071,8.519,8.08e-18,4.59e-15
37,1,8.514,8.44e-18,4.8e-15
37,0.9998,8.511,8.62e-18,4.91e-15
37,1,8.509,8.78e-18,4.99e-15
37,0.9992,8.5,9.49e-18,5.4e-15
37,1,8.488,1.05e-17,5.96e-15
37,1,8.488,1.05e-17,5.97e-15
37,0.8169,8.484,1.09e-17,6.18e-15
37,0.9998,8.483,1.09e-17,6.22e-15
37,1,8.482,1.11e-17,6.31e-15
37,1,8.477,1.15e-17,6.57e-15
37,0.9998,8.474,1.18e-17,6.73e-15
37,1,8.464,1.29e-17,7.35e-15
37,1,8.463,1.3e-17,7.41e-15
37,0.9998,8.462,1.32e-17,7.48e-15
37,0.9694,8.449,1.47e-17,8.37e-15
37,0.9875,8.445,1.52e-17,8.66e-15
37,0.9998,8.442,1.56e-17,8.87e-15
37,1,8.441,1.57e-17,8.93e-15
37,0.9164,8.434,1.67e-17,9.49e-15
37,0.9694,8.431,1.71e-17,9.76e-15
37,0.9172,8.43,1.73e-17,9.86e-15
37,1,8.427,1.78e-17,1.01e-14
37,0.9071,8.426,1.8e-17,1.02e-14
37,1,8.422,1.85e-17,1.05e-14
37,0.9998,8.415,1.97e-17,1.12e-14
37,0.9802,8.413,2e-17,1.14e-14
37,0.9694,8.411,2.02e-17,1.15e-14
37,0.9998,8.41,2.05e-17,1.17e-14
37,1,8.407,2.09e-17,1.19e-14
37,1,8.402,2.19e-17,1.25e-14
37,0.9694,8.402,2.2e-17,1.25e-14
37,0.9992,8.396,2.31e-17,1.32e-14
37,0.9701,8.38,2.65e-17,1.51e-14
37,0.9993,8.351,3.38e-17,1.92e-14
37,0.9694,8.342,3.65e-17,2.08e-14
37,1,8.338,3.77e-17,2.14e-14
37,0.9071,8.33,4.05e-17,2.31e-14
37,1,8.322,4.32e-17,2.46e-14
37,0.9373,8.319,4.42e-17,2.52e-14
37,1,8.296,5.36e-17,3.05e-14
37,1,8.291,5.62e-17,3.2e-14
37,1,8.287,5.82e-17,3.31e-14
37,0.9993,8.286,5.85e-17,3.33e-14
37,0.9701,8.281,6.13e-17,3.49e-14
37,0.9963,8.27,6.71e-17,3.82e-14
37,0.9459,8.26,7.31e-17,4.16e-14
37,1,8.249,7.98e-17,4.54e-14
37,0.9963,8.24,8.6e-17,4.89e-14
37,0.9373,8.23,9.39e-17,5.34e-14
37,0.9998,8.227,9.62e-17,5.47e-14
37,0.9998,8.221,1.01e-16,5.74e-14
37,1,8.218,1.04e-16,5.9e-14
37,0.9694,8.217,1.04e-16,5.93e-14
37,0.9981,8.216,1.05e-16,6e-14
37,1,8.201,1.19e-16,6.79e-14
37,1,8.168,1.57e-16,8.95e-14
37,0.9694,8.141,1.95e-16,1.11e-13
37,0.9753,8.138,2.01e-16,1.15e-13
37,1,8.123,2.27e-16,1.29e-13
37,0.8942,8.107,2.58e-16,1.47e-13
37,0.9172,8.106,2.62e-16,1.49e-13
37,0.871,8.09,2.98e-16,1.7e-13
37,0.9998,8.013,5.6e-16,3.18e-13
37,0.9071,7.997,6.36e-16,3.62e-13
37,0.9071,7.919,1.19e-15,6.79e-13
37,0.8716,7.857,1.97e-15,1.12e-12
37,1,7.845,2.16e-15,1.23e-12
37,0.9071,7.776,3.73e-15,2.12e-12
