stringId_A,stringId_B
ENSP00000252483,ENSP00000419085
ENSP00000252599,ENSP00000340864
ENSP00000252599,ENSP00000363840
ENSP00000252599,ENSP00000381949
ENSP00000252599,ENSP00000362776
ENSP00000252599,ENSP00000304408
ENSP00000252599,ENSP00000369889
ENSP00000252599,ENSP00000297268
ENSP00000252599,ENSP00000364000
ENSP00000252599,ENSP00000360882
ENSP00000252699,ENSP00000261769
ENSP00000252699,ENSP00000358866
ENSP00000252699,ENSP00000264741
ENSP00000252699,ENSP00000358310
ENSP00000252699,ENSP00000327290
ENSP00000252699,ENSP00000262407
ENSP00000252699,ENSP00000267082
ENSP00000252699,ENSP00000422007
ENSP00000252699,ENSP00000283249
ENSP00000252699,ENSP00000380227
ENSP00000252699,ENSP00000261023
ENSP00000252699,ENSP00000367316
ENSP00000252699,ENSP00000452786
ENSP00000252699,ENSP00000386896
ENSP00000252699,ENSP00000296181
ENSP00000252699,ENSP00000352138
ENSP00000252699,ENSP00000282588
ENSP00000252699,ENSP00000296585
ENSP00000252699,ENSP00000357883
ENSP00000252699,ENSP00000293379
ENSP00000252699,ENSP00000379350
ENSP00000252699,ENSP00000458162
ENSP00000252699,ENSP00000360305
ENSP00000252699,ENSP00000385450
ENSP00000252699,ENSP00000377941
ENSP00000252804,ENSP00000360882
ENSP00000252999,ENSP00000366109
ENSP00000252999,ENSP00000359085
ENSP00000252999,ENSP00000262407
ENSP00000252999,ENSP00000341189
ENSP00000252999,ENSP00000267082
ENSP00000252999,ENSP00000296585
ENSP00000252999,ENSP00000358310
ENSP00000252999,ENSP00000380227
ENSP00000252999,ENSP00000327290
ENSP00000252999,ENSP00000264741
ENSP00000252999,ENSP00000367316
ENSP00000252999,ENSP00000297268
ENSP00000252999,ENSP00000283249
ENSP00000252999,ENSP00000261023
ENSP00000252999,ENSP00000293379
ENSP00000252999,ENSP00000346839
ENSP00000252999,ENSP00000452786
ENSP00000252999,ENSP00000282588
ENSP00000252999,ENSP00000296181
ENSP00000252999,ENSP00000442600
ENSP00000252999,ENSP00000398632
ENSP00000252999,ENSP00000270233
ENSP00000252999,ENSP00000379350
ENSP00000252999,ENSP00000386896
ENSP00000252999,ENSP00000258341
ENSP00000253796,ENSP00000385477
ENSP00000253796,ENSP00000362680
ENSP00000253796,ENSP00000331746
ENSP00000254066,ENSP00000378368
ENSP00000254066,ENSP00000362680
ENSP00000254066,ENSP00000451828
ENSP00000254066,ENSP00000287820
ENSP00000254066,ENSP00000320147
ENSP00000254066,ENSP00000263253
ENSP00000254958,ENSP00000304283
ENSP00000254958,ENSP00000348461
ENSP00000254958,ENSP00000309968
ENSP00000254958,ENSP00000313875
ENSP00000254958,ENSP00000364163
ENSP00000256178,ENSP00000398632
ENSP00000257770,ENSP00000339467
ENSP00000257770,ENSP00000361965
ENSP00000257770,ENSP00000354532
ENSP00000258341,ENSP00000359085
ENSP00000258341,ENSP00000378431
ENSP00000258341,ENSP00000356515
ENSP00000258341,ENSP00000339328
ENSP00000258341,ENSP00000361850
ENSP00000258341,ENSP00000369677
ENSP00000258341,ENSP00000262407
ENSP00000258341,ENSP00000341189
ENSP00000258341,ENSP00000267082
ENSP00000258341,ENSP00000359077
ENSP00000258341,ENSP00000264741
ENSP00000258341,ENSP00000283249
ENSP00000258341,ENSP00000380227
ENSP00000258341,ENSP00000452786
ENSP00000258341,ENSP00000367316
ENSP00000258341,ENSP00000327290
ENSP00000258341,ENSP00000358310
ENSP00000258341,ENSP00000296585
ENSP00000258341,ENSP00000282588
ENSP00000258341,ENSP00000296181
ENSP00000258341,ENSP00000442600
ENSP00000258341,ENSP00000293379
ENSP00000258341,ENSP00000261023
ENSP00000258341,ENSP00000398632
ENSP00000258341,ENSP00000386896
ENSP00000258341,ENSP00000379350
ENSP00000259206,ENSP00000264657
ENSP00000259371,ENSP00000341905
ENSP00000259371,ENSP00000274376
ENSP00000259371,ENSP00000451828
ENSP00000259526,ENSP00000384273
ENSP00000259607,ENSP00000355627
ENSP00000259607,ENSP00000362680
ENSP00000259607,ENSP00000375086
ENSP00000259607,ENSP00000354416
ENSP00000259607,ENSP00000356792
ENSP00000259607,ENSP00000379140
ENSP00000259607,ENSP00000474412
ENSP00000260356,ENSP00000339730
ENSP00000260356,ENSP00000360882
ENSP00000260356,ENSP00000304408
ENSP00000260356,ENSP00000358310
ENSP00000260356,ENSP00000263253
ENSP00000260356,ENSP00000267082
ENSP00000260356,ENSP00000380227
ENSP00000260356,ENSP00000330382
ENSP00000260356,ENSP00000367316
ENSP00000260356,ENSP00000327290
ENSP00000260356,ENSP00000282588
ENSP00000260356,ENSP00000341189
ENSP00000260356,ENSP00000283249
ENSP00000260356,ENSP00000336829
ENSP00000260356,ENSP00000306099
ENSP00000260356,ENSP00000293379
ENSP00000260356,ENSP00000386896
ENSP00000260356,ENSP00000264741
ENSP00000260356,ENSP00000296181
ENSP00000260356,ENSP00000296585
ENSP00000260356,ENSP00000308938
ENSP00000260356,ENSP00000262407
ENSP00000260356,ENSP00000361818
ENSP00000260356,ENSP00000261023
ENSP00000260356,ENSP00000452786
ENSP00000260356,ENSP00000379350
ENSP00000260356,ENSP00000346839
ENSP00000260356,ENSP00000355361
ENSP00000261023,ENSP00000369581
ENSP00000261023,ENSP00000369677
ENSP00000261023,ENSP00000380638
ENSP00000261023,ENSP00000382697
ENSP00000261023,ENSP00000408695
ENSP00000261023,ENSP00000264741
ENSP00000261023,ENSP00000317985
ENSP00000261023,ENSP00000325527
ENSP00000261023,ENSP00000419446
ENSP00000261023,ENSP00000359077
ENSP00000261023,ENSP00000346300
ENSP00000261023,ENSP00000263923
ENSP00000261023,ENSP00000458162
ENSP00000261023,ENSP00000400175
ENSP00000261023,ENSP00000369889
ENSP00000261023,ENSP00000300574
ENSP00000261023,ENSP00000358866
ENSP00000261023,ENSP00000367316
ENSP00000261023,ENSP00000334008
ENSP00000261023,ENSP00000377941
ENSP00000261023,ENSP00000345347
ENSP00000261023,ENSP00000454623
ENSP00000261023,ENSP00000355361
ENSP00000261023,ENSP00000355896
ENSP00000261023,ENSP00000386896
ENSP00000261023,ENSP00000457421
ENSP00000261023,ENSP00000297268
ENSP00000261023,ENSP00000407685
ENSP00000261023,ENSP00000339730
ENSP00000261023,ENSP00000349252
ENSP00000261023,ENSP00000358310
ENSP00000261023,ENSP00000327290
ENSP00000261023,ENSP00000282588
ENSP00000261023,ENSP00000362680
ENSP00000261023,ENSP00000293379
ENSP00000261023,ENSP00000262407
ENSP00000261023,ENSP00000267082
ENSP00000261023,ENSP00000380227
ENSP00000261023,ENSP00000296585
ENSP00000261023,ENSP00000341189
ENSP00000261023,ENSP00000380948
ENSP00000261023,ENSP00000452786
ENSP00000261023,ENSP00000283249
ENSP00000261023,ENSP00000379350
ENSP00000261023,ENSP00000346839
ENSP00000261023,ENSP00000296181
ENSP00000261590,ENSP00000293373
ENSP00000261590,ENSP00000366283
ENSP00000261590,ENSP00000314067
ENSP00000261590,ENSP00000337907
ENSP00000261590,ENSP00000469413
ENSP00000261590,ENSP00000351209
ENSP00000261590,ENSP00000379350
ENSP00000261590,ENSP00000304283
ENSP00000261590,ENSP00000339467
ENSP00000261590,ENSP00000339191
ENSP00000261590,ENSP00000331678
